BuildingType,PrimaryPropertyType,City,State,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFABuilding(s),Electricity(kWh)
NonResidential,Retail Store,Seattle,WA,98125.0,5,NORTH,47.70759,-122.3255,1965,2,168619,1599320.5
NonResidential,Mixed Use Property,Seattle,WA,98102.0,4,LAKE UNION,47.63451,-122.32505,2002,5,138509,8544799.0
NonResidential,Large Office,Seattle,WA,98109.0,7,LAKE UNION,47.6244,-122.33157,2000,4,104500,1901048.25
NonResidential,Warehouse,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.56089,-122.33474,1969,2,104786,195403.7969
NonResidential,Other,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.55787,-122.335,2000,1,11440,280178.0
NonResidential,Other,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.55741,-122.33163,1973,1,110689,104433.7969
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.5563,-122.33186,1948,1,53620,554098.5
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.55623,-122.33316,1938,1,50008,665544.375
NonResidential,Large Office,Seattle,WA,98119.0,7,MAGNOLIA / QUEEN ANNE,47.6252,-122.36737,2009,4,191000,1929988.0
NonResidential,Warehouse,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.56549,-122.33221,1957,1,50832,179950.4063
NonResidential,Refrigerated Warehouse,Seattle,WA,98108.0,2,GREATER DUWAMISH,47.56158,-122.32754,1971,1,76354,830282.5
NonResidential,Warehouse,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.56558,-122.32889,1956,1,98480,704380.6875
NonResidential,Mixed Use Property,Seattle,WA,98103.0,4,LAKE UNION,47.66113,-122.33572,1904,2,53002,754551.875
NonResidential,Mixed Use Property,Seattle,WA,98102.0,4,LAKE UNION,47.63465,-122.32592,2008,3,124700,3530997.0
NonResidential,Other,Seattle,WA,98102.0,3,LAKE UNION,47.63108,-122.32746,1920,3,106003,3883254.0
NonResidential,Large Office,Seattle,WA,98109.0,7,LAKE UNION,47.63,-122.3396,1971,11,124721,2365175.75
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98109.0,7,LAKE UNION,47.63376,-122.33968,1970,7,94002,1659505.75
NonResidential,Warehouse,Seattle,WA,98108.0,2,GREATER DUWAMISH,47.55515,-122.3275,1974,1,93020,367035.0938
NonResidential,Other,Seattle,WA,98121.0,7,DOWNTOWN,47.6153,-122.35014,1946,1,23000,76388.79688
NonResidential,Supermarket / Grocery Store,Seattle,WA,98118.0,2,SOUTHEAST,47.52095,-122.26825,2002,1,61053,2483776.0
NonResidential,Large Office,Seattle,WA,98104.0,2,DOWNTOWN,47.59878,-122.33458,1913,7,154159,471503.0
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98104.0,2,DOWNTOWN,47.59895,-122.33379,1904,5,78920,829623.1875
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98104.0,2,DOWNTOWN,47.59855,-122.33327,1906,7,99440,1373344.375
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98104.0,2,DOWNTOWN,47.59856,-122.33379,1907,6,73260,836221.875
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98104.0,7,DOWNTOWN,47.59979,-122.3338,1900,4,69817,364924.6875
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98104.0,7,DOWNTOWN,47.60035,-122.33379,1900,4,84750,541278.3125
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98104.0,7,DOWNTOWN,47.60146,-122.33248,1900,6,62176,1046354.5
NonResidential,Large Office,Seattle,WA,98104.0,7,DOWNTOWN,47.59962,-122.33247,1900,4,164380,1816152.875
NonResidential,Large Office,Seattle,WA,98104.0,2,DOWNTOWN,47.59858,-122.33198,1907,7,160580,883376.6875
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98104.0,7,DOWNTOWN,47.60159,-122.32915,1909,6,73470,941462.125
Nonresidential COS,Other,Seattle,WA,98104.0,2,DOWNTOWN,47.59871,-122.3299,1906,3,67755,558171.125
NonResidential,Mixed Use Property,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.59334,-122.32905,1910,3,56700,599477.125
NonResidential,Warehouse,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.59366,-122.32666,1922,1,82852,310101.0
NonResidential,Other,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.57941,-122.33131,1953,2,76442,499824.9063
NonResidential,Distribution Center,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.57658,-122.33054,1962,2,92792,593368.375
NonResidential,Other,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.58444,-122.33282,1941,2,125519,657771.625
NonResidential,Large Office,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.58361,-122.33369,1900,4,103200,1282135.25
NonResidential,Warehouse,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.58781,-122.33264,1954,1,78814,186145.0
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.59486,-122.33368,1904,4,58970,337741.6875
NonResidential,Distribution Center,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.59403,-122.33367,1910,6,64800,788005.6875
NonResidential,Distribution Center,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.59363,-122.33371,1907,4,56270,309725.0938
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98104.0,2,DOWNTOWN,47.59701,-122.33378,1904,4,66842,1013347.0
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98104.0,2,DOWNTOWN,47.59639,-122.33368,1909,6,64488,847370.625
NonResidential,Large Office,Seattle,WA,98104.0,2,DOWNTOWN,47.59806,-122.33475,1904,7,184322,2849615.75
NonResidential,Large Office,Seattle,WA,98104.0,2,DOWNTOWN,47.59767,-122.33467,2009,7,287853,7468517.5
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.59202,-122.33486,1914,2,64512,865222.3125
NonResidential,Mixed Use Property,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.58924,-122.33566,2009,6,174226,18705198.0
NonResidential,Warehouse,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.58365,-122.33467,1926,7,144050,700417.625
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98104.0,2,GREATER DUWAMISH,47.58252,-122.33465,1930,3,60592,1403403.75
NonResidential,Large Office,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.58181,-122.33534,1912,6,1380959,19859480.0
NonResidential,Retail Store,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.57842,-122.33558,1993,1,107930,1798386.125
NonResidential,Warehouse,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.57096,-122.3355,1926,1,99084,233027.0
NonResidential,Distribution Center,Seattle,WA,98106.0,1,Delridge,47.56676,-122.35247,1953,1,72719,599482.625
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98134.0,3,EAST,47.59534849,-122.327269,1930,4,76624,723489.8125
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98105.0,4,NORTHEAST,47.66158,-122.31625,2001,6,55123,2511890.5
NonResidential,Medical Office,Seattle,WA,98109.0,7,LAKE UNION,47.62395,-122.33392,2008,5,89191,3458477.0
NonResidential,Large Office,Seattle,WA,98106.0,1,DELRIDGE,47.56787,-122.36419,1991,5,121885,2456574.75
NonResidential,Retail Store,Seattle,WA,98108.0,2,GREATER DUWAMISH,47.56664,-122.32346,1973,1,56572,385429.3125
Multifamily MR (5-9),Mid-Rise Multifamily,Seattle,WA,98104.0,7,DOWNTOWN,47.60138,-122.32997,2002,6,106740,914822.8125
NonResidential,Medical Office,Seattle,WA,98104.0,3,EAST,47.60979,-122.32298,2004,0,225982,3735333.25
NonResidential,Mixed Use Property,Seattle,WA,98121.0,7,DOWNTOWN,47.61783,-122.33729,2006,0,516407,8626261.0
NonResidential,Large Office,Seattle,WA,98104.0,2,DOWNTOWN,47.59794,-122.32767,2000,11,312512,7508547.5
NonResidential,Large Office,Seattle,WA,98101.0,7,DOWNTOWN,47.6074,-122.33777,2005,42,1592914,16155898.0
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98101.0,7,DOWNTOWN,47.61077,-122.3361,1926,6,97720,726267.625
NonResidential,Medical Office,Seattle,WA,98104.0,3,EAST,47.61002,-122.32222,1985,10,215923,4765725.0
NonResidential,Medical Office,Seattle,WA,98122.0,3,CENTRAL,47.60649,-122.31121,1987,7,94500,1697809.25
NonResidential,Retail Store,Seattle,WA,98106.0,1,DELRIDGE,47.53655,-122.36377,2005,1,94713,1225938.125
NonResidential,Medical Office,Seattle,WA,98122.0,7,EAST,47.60707,-122.3288,2008,9,201560,4148730.5
NonResidential,Medical Office,Seattle,WA,98104.0,3,EAST,47.60883,-122.32494,1973,19,163504,3362660.75
NonResidential,Large Office,Seattle,WA,98104.0,7,DOWNTOWN,47.60353,-122.33558,1900,6,205521,1267877.25
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98104.0,7,DOWNTOWN,47.60197,-122.33437,1900,6,56700,898579.6875
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.59554,-122.32471,1925,4,72000,771568.375
NonResidential,Large Office,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.63347,-122.34078,2000,4,96254,1495165.25
NonResidential,Other,Seattle,WA,98121.0,1,DELRIDGE,47.56797,-122.36711,2001,3,57236,1075838.875
NonResidential,Other,Seattle,WA,98118.0,2,SOUTHEAST,47.56961,-122.28881,1994,1,102133,3621616.75
Multifamily HR (10+),High-Rise Multifamily,Seattle,WA,98121.0,7,DOWNTOWN,47.61534,-122.34844,1989,26,276497,2460109.0
NonResidential,Large Office,Seattle,WA,98101.0,7,DOWNTOWN,47.61567,-122.33503,2008,14,362046,4562412.5
Multifamily MR (5-9),Mid-Rise Multifamily,Seattle,WA,98104.0,2,DOWNTOWN,47.59625,-122.32283,2002,5,195993,576479.3125
NonResidential,Other,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62476,-122.35521,1994,2,81336,2698352.0
NonResidential,Large Office,Seattle,WA,98101.0,7,DOWNTOWN,47.6115,-122.33278,2001,23,538933,4695381.0
Multifamily HR (10+),High-Rise Multifamily,Seattle,WA,98101.0,7,DOWNTOWN,47.6103,-122.33879,1929,13,99470,1191086.125
NonResidential,Other,Seattle,WA,98121.0,7,DOWNTOWN,47.61234,-122.34897,1983,6,78852,1533866.75
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62497,-122.35965,1982,5,98668,1287030.375
NonResidential,Large Office,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.57639,-122.32072,2007,1,130550,2326567.5
NonResidential,Large Office,Seattle,WA,98119.0,7,MAGNOLIA / QUEEN ANNE,47.65692,-122.37059,1978,1,105100,5175177.5
NonResidential,Supermarket / Grocery Store,Seattle,WA,98119.0,7,MAGNOLIA / QUEEN ANNE,47.63718,-122.37734,2008,1,57176,0.0
NonResidential,Retail Store,Seattle,WA,98121.0,7,MAGNOLIA / QUEEN ANNE,47.63284,-122.37712,1978,1,50660,512301.8125
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98119.0,7,MAGNOLIA / QUEEN ANNE,47.63156,-122.37551,1937,2,61929,389230.5
NonResidential,Large Office,Seattle,WA,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62302,-122.36476,2000,4,110111,7467199.0
NonResidential,Large Office,Seattle,WA,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62235,-122.36378,2000,4,87051,7953454.5
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98121.0,7,DOWNTOWN,47.61588,-122.34965,1925,3,20565,235144.2969
NonResidential,Large Office,Seattle,WA,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62175,-122.36313,2000,5,103966,2303039.75
NonResidential,Large Office,Seattle,WA,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62101,-122.36188,2008,5,137201,4354102.5
NonResidential,Large Office,Seattle,WA,98119.0,7,MAGNOLIA / QUEEN ANNE,47.61891,-122.35958,1986,5,129362,1118781.0
NonResidential,Large Office,Seattle,WA,98121.0,7,DOWNTOWN,47.61813,-122.35833,1986,7,197203,3730907.5
NonResidential,Large Office,Seattle,WA,98121.0,7,DOWNTOWN,47.614,-122.35375,1993,3,187130,2946508.75
NonResidential,Large Office,Seattle,WA,98121.0,7,DOWNTOWN,47.61287,-122.35022,2000,5,133177,5037111.0
NonResidential,Warehouse,Seattle,WA,98101.0,7,DOWNTOWN,47.60703,-122.34038,1912,5,154330,369939.9063
NonResidential,Large Office,Seattle,WA,98006.0,7,DOWNTOWN,47.60604,-122.33948,1918,6,93555,1245286.625
NonResidential,Large Office,Seattle,WA,98104.0,7,DOWNTOWN,47.6047,-122.33739,1905,6,167860,1992276.125
NonResidential,Large Office,Seattle,WA,98104.0,7,DOWNTOWN,47.60247,-122.33621,1910,6,112560,1047485.313
NonResidential,Retail Store,Seattle,WA,98104.0,7,DOWNTOWN,47.60223,-122.33602,1910,6,86204,655304.375
Nonresidential COS,Warehouse,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.5829,-122.32417,1985,2,145158,2069794.125
NonResidential,Large Office,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.58716,-122.32214,1951,2,112896,2470454.0
NonResidential,Distribution Center,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.58685,-122.32501,1960,1,110613,297497.0938
NonResidential,Warehouse,Seattle,WA,98103.0,2,GREATER DUWAMISH,47.58553,-122.32511,1951,4,149881,206641.0
NonResidential,Warehouse,Seattle,WA,98121.0,2,GREATER DUWAMISH,47.58042,-122.32552,1951,3,98220,1703866.125
NonResidential,Distribution Center,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.58096,-122.32313,1970,1,84420,834793.875
NonResidential,Distribution Center,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.57055,-122.3267,1961,1,73335,764020.6875
NonResidential,Distribution Center,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.5794,-122.32848,1928,2,56876,296390.1875
NonResidential,Warehouse,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.58241,-122.32866,1931,2,61200,522538.6875
NonResidential,Distribution Center,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.58772,-122.32686,1987,1,111908,307886.3125
NonResidential,Other,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.5908,-122.32828,1986,2,63644,1243467.5
NonResidential,Mixed Use Property,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.59439,-122.32839,1930,2,89893,1066726.25
NonResidential,Supermarket / Grocery Store,Seattle,WA,98117.0,6,NORTHWEST,47.69197,-122.35877,1970,1,106345,3825269.5
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98107.0,6,BALLARD,47.6633,-122.37549,2001,4,71037,1411800.0
NonResidential,Warehouse,Seattle,WA,98199.0,7,MAGNOLIA / QUEEN ANNE,47.6592,-122.38437,1974,3,56259,239653.2969
NonResidential,Other,Seattle,WA,98105.0,4,NORTHEAST,47.65529,-122.32133,2006,6,143439,4132699.5
NonResidential,Large Office,Seattle,WA,98103.0,6,LAKE UNION,47.64912,-122.34823,2008,4,113768,2600669.5
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98103.0,6,LAKE UNION,47.64932,-122.35187,2000,2,51374,1606549.875
NonResidential,Large Office,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62817,-122.34212,1998,5,110524,2010315.75
NonResidential,Mixed Use Property,Seattle,WA,98109.0,3,LAKE UNION,47.6289,-122.32877,2008,5,183574,5101847.0
NonResidential,Laboratory,Seattle,WA,98102.0,3,LAKE UNION,47.63079,-122.32693,1999,4,97366,4956971.0
NonResidential,Large Office,Seattle,WA,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62225,-122.35915,2000,7,157186,2487805.5
NonResidential,Large Office,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.61949,-122.35639,1974,5,84210,1189705.5
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98121.0,7,DOWNTOWN,47.61472,-122.35566,1902,3,76893,2405996.5
NonResidential,Large Office,Seattle,WA,98121.0,7,DOWNTOWN,47.61732,-122.34791,1975,8,126370,2390311.5
NonResidential,Large Office,Seattle,WA,98101.0,7,DOWNTOWN,47.61628,-122.33391,1953,7,274362,4641282.0
NonResidential,Large Office,Seattle,WA,98121.0,7,DOWNTOWN,47.61599,-122.34165,1983,15,261722,4420666.0
NonResidential,Large Office,Seattle,WA,98121.0,7,DOWNTOWN,47.61481,-122.33969,1963,11,169020,2112982.25
NonResidential,Other,Seattle,WA,98121.0,7,DOWNTOWN,47.61438,-122.33871,1981,33,429405,80460872.0
NonResidential,Large Office,Seattle,WA,98104.0,7,DOWNTOWN,47.60454,-122.33072,1985,76,1632820,25747908.0
NonResidential,Large Office,Seattle,WA,98101.0,7,DOWNTOWN,47.61418,-122.33485,1981,19,293737,4653777.0
NonResidential,Medical Office,Seattle,WA,98101.0,7,DOWNTOWN,47.6129,-122.33684,1925,18,335064,4690018.0
NonResidential,Retail Store,Seattle,WA,98101.0,7,DOWNTOWN,47.61203,-122.33486,1929,4,78920,2103559.75
NonResidential,Large Office,Seattle,WA,98121.0,7,DOWNTOWN,47.61051,-122.34439,1979,7,43983,1427645.25
NonResidential,Other,Seattle,WA,98101.0,7,DOWNTOWN,47.61289,-122.33531,1999,0,947987,13631581.0
NonResidential,Mixed Use Property,Seattle,WA,98122.0,3,EAST,47.61505,-122.32,1908,4,55520,285435.8125
NonResidential,Large Office,Seattle,WA,98101.0,7,DOWNTOWN,47.61036,-122.34037,1908,10,132998,657827.3125
NonResidential,Retail Store,Seattle,WA,98101.0,7,DOWNTOWN,47.60956,-122.33715,1940,3,83118,647543.6875
NonResidential,Retail Store,Seattle,WA,98101.0,7,DOWNTOWN,47.60925,-122.33734,1924,3,77555,2286650.5
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98121.0,7,DOWNTOWN,47.60765,-122.34097,1909,6,51218,845879.625
NonResidential,Large Office,Seattle,WA,98101.0,7,DOWNTOWN,47.60765,-122.3348,1970,29,489182,9564432.0
NonResidential,Large Office,Seattle,WA,98101.0,7,DOWNTOWN,47.60769,-122.33544,1929,27,203251,2551222.75
NonResidential,Large Office,Seattle,WA,98104.0,7,DOWNTOWN,47.60741,-122.33565,1921,13,189175,5579253.5
NonResidential,Large Office,Seattle,WA,98104.0,7,DOWNTOWN,47.60582,-122.33464,1998,13,219322,5004144.0
NonResidential,Large Office,Seattle,WA,98101.0,7,DOWNTOWN,47.60576,-122.33922,1910,7,122356,1281305.625
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98104.0,7,DOWNTOWN,47.60366,-122.33328,1921,3,52298,576979.6875
NonResidential,Large Office,Seattle,WA,98101.0,7,DOWNTOWN,47.60304,-122.33362,1911,17,116640,1471838.875
NonResidential,Large Office,Seattle,WA,98104.0,3,DOWNTOWN,47.60573,-122.33028,1981,42,1047934,11131508.0
NonResidential,Medical Office,Seattle,WA,98104.0,3,EAST,47.60663,-122.32157,1988,5,89025,2307620.5
NonResidential,University,Seattle,WA,98122.0,3,CENTRAL,47.6094,-122.31506,1916,2,60122,173807.0
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98104.0,2,DOWNTOWN,47.5981,-122.33369,1910,6,81300,1167594.25
NonResidential,Large Office,Seattle,WA,98104.0,7,DOWNTOWN,47.6029,-122.32927,1971,9,224857,3289861.75
NonResidential,Large Office,Seattle,WA,98104.0,2,DOWNTOWN,47.59878,-122.33088,1998,8,321473,3976596.0
NonResidential,Other,Seattle,WA,98104.0,2,GREATER DUWAMISH,47.59273,-122.33455,1939,2,58492,210377.0
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.58958,-122.33369,1907,6,62370,1275798.5
NonResidential,Warehouse,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.58454,-122.3269,1960,1,73296,327543.0
Nonresidential COS,Other,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.5829,-122.32417,1944,4,99122,3741538.0
NonResidential,Other,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.58251,-122.32528,1985,1,66133,1569290.625
NonResidential,Warehouse,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.57613,-122.33864,1952,2,115668,485913.0938
NonResidential,Other,Seattle,WA,98108.0,2,GREATER DUWAMISH,47.56301,-122.32564,1970,1,141686,1955784.625
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.55695,-122.33176,1950,1,93610,1136505.75
NonResidential,Large Office,Seattle,WA,98108.0,2,GREATER DUWAMISH,47.55238,-122.32762,1973,2,156188,1921887.75
NonResidential,Warehouse,Seattle,WA,98108.0,2,GREATER DUWAMISH,47.54923,-122.32446,1966,1,115620,572056.3125
NonResidential,Large Office,Seattle,WA,98108.0,2,GREATER DUWAMISH,47.54699,-122.32882,1975,5,238148,3158161.0
NonResidential,Distribution Center,Seattle,WA,98108.0,2,GREATER DUWAMISH,47.54326,-122.33134,1969,1,71718,44476.60156
NonResidential,Warehouse,Seattle,WA,98108.0,1,GREATER DUWAMISH,47.53628,-122.3329,1969,1,55450,629893.5
NonResidential,Distribution Center,Seattle,WA,98108.0,1,GREATER DUWAMISH,47.52549,-122.33064,1979,1,54880,363654.1875
NonResidential,Retail Store,Seattle,WA,98126.0,1,DELRIDGE,47.52222,-122.36892,1992,1,102500,1457465.75
NonResidential,Other,Seattle,WA,98105.0,4,NORTHEAST,47.66478,-122.29804,2002,6,88498,2246068.0
NonResidential,Supermarket / Grocery Store,Seattle,WA,98144.0,2,GREATER DUWAMISH,47.57903,-122.29982,1963,1,50785,1268266.375
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98106.0,1,Delridge,47.54103,-122.33766,1929,3,85126,5454295.0
NonResidential,Other,Seattle,WA,98125.0,5,North,47.70911,-122.32529,2000,5,283435,3107313.0
NonResidential,Distribution Center,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.56613,-122.33838,1986,1,411584,2198679.25
NonResidential,Mixed Use Property,Seattle,WA,98104.0,7,DOWNTOWN,47.59937,-122.33116,1902,4,73320,199789.5
NonResidential,Large Office,Seattle,WA,98119.0,7,MAGNOLIA / QUEEN ANNE,47.6252,-122.36737,2008,4,142510,2838211.5
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98104.0,2,DOWNTOWN,47.5992,-122.33223,1900,6,79920,1346383.125
NonResidential,Warehouse,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.56733,-122.3352,1946,1,179413,1013933.875
NonResidential,Warehouse,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.57513,-122.33739,1917,1,65288,177600.0
NonResidential,Warehouse,Seattle,WA,98106.0,1,Delridge,47.5725,-122.3571,1966,1,170632,176507.9063
NonResidential,Large Office,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.63264,-122.34171,1994,10,381511,3175323.75
NonResidential,Large Office,Seattle,WA,98104.0,3,DOWNTOWN,47.60214,-122.32726,2009,17,275166,3995058.5
NonResidential,Mixed Use Property,Seattle,WA,98105.0,4,NORTHEAST,47.6586,-122.3124,2009,6,68100,1137190.625
NonResidential,Retail Store,Seattle,WA,98105.0,4,NORTHEAST,47.66246,-122.29898,1956,2,93803,1138433.5
SPS-District K-12,K-12 School,Seattle,WA,98122.0,3,CENTRAL,47.6012,-122.31548,1988,1,52924,573642.5
NonResidential,Warehouse,Seattle,WA,98118.0,2,GREATER DUWAMISH,47.51304,-122.28394,1966,2,123000,880501.375
NonResidential,Medical Office,Seattle,WA,98122.0,3,EAST,47.6056366,-122.3214798,2003,5,162150,2913630.5
NonResidential,Warehouse,Seattle,WA,98136.0,2,GREATER DUWAMISH,47.51168,-122.28285,1978,1,60448,181961.5
NonResidential,Hospital,Seattle,WA,98122.0,3,EAST,47.608951,-122.322402,1994,14,1765970,40842564.0
NonResidential,Other,Seattle,WA,98121.0,7,MAGNOLIA / QUEEN ANNE,47.61915,-122.35871,1928,4,62600,1181456.0
NonResidential,Mixed Use Property,Seattle,WA,98122.0,3,EAST,47.60453796,-122.3203278,2004,4,55800,763418.3125
NonResidential,Medical Office,Seattle,WA,98122.0,3,EAST,47.60796711,-122.3195445,1990,5,130262,3447113.0
NonResidential,Other,Seattle,WA,98115.0,5,NORTH,47.6993,-122.32378,1987,5,90266,2277823.25
NonResidential,Warehouse,Seattle,WA,98107.0,6,Ballard,47.6582,-122.36434,2004,4,80874,301186.5938
NonResidential,Hotel,Seattle,WA,98122.0,3,EAST,47.61210727,-122.3205972,2003,6,100528,1641705.0
NonResidential,Other,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62147,-122.34817,1999,5,141718,4271148.5
NonResidential,Hotel,Seattle,WA,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62562,-122.35121,2008,5,90583,1414198.875
NonResidential,Warehouse,Seattle,WA,98122.0,3,EAST,47.61818,-122.31728,1988,4,132828,317622.9063
NonResidential,Warehouse,Seattle,WA,98106.0,1,DELRIDGE,47.53935,-122.34402,1970,1,70400,2906502.75
NonResidential,Retail Store,Seattle,WA,98133.0,5,NORTHWEST,47.71417,-122.34256,1995,1,101830,1739556.0
SPS-District K-12,K-12 School,Seattle,WA,98122.0,3,CENTRAL,47.6021,-122.29181,1988,3,55353,420163.0938
NonResidential,University,Seattle,WA,98144.0,3,CENTRAL,47.5997,-122.30364,1974,4,114000,1858679.75
SPS-District K-12,Other,Seattle,WA,98124.0,2,GREATER DUWAMISH,47.5805,-122.33032,2002,3,338063,5327046.5
NonResidential,Warehouse,Seattle,WA,98053.0,1,SOUTHWEST,47.57311,-122.3601,1965,1,152365,277903.5
NonResidential,Medical Office,Seattle,WA,98122.0,3,CENTRAL,47.60705,-122.30966,1910,6,320946,7387187.5
NonResidential,Retail Store,Seattle,WA,98108.0,2,GREATER DUWAMISH,47.54862,-122.32272,1958,1,74178,966097.375
NonResidential,Warehouse,Seattle,WA,98125.0,5,NORTH,47.70799,-122.30185,1987,4,80360,128083.0
SPS-District K-12,K-12 School,Seattle,WA,98116.0,1,SOUTHWEST,47.5795,-122.38723,1950,1,61183,211139.0
NonResidential,Supermarket / Grocery Store,Seattle,WA,98122.0,3,EAST,47.61318,-122.32122,1996,3,119190,1703812.0
NonResidential,Other,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.59394,-122.32452,2008,2,51856,568174.875
NonResidential,Mixed Use Property,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.58718,-122.33467,1921,3,53552,2072390.875
NonResidential,Large Office,Seattle,WA,98105.0,4,NORTHEAST,47.66181,-122.31231,1960,3,65434,5214438.5
Multifamily LR (1-4),Low-Rise Multifamily,Seattle,WA,98133.0,5,NORTHWEST,47.70835,-122.33555,1976,4,31334,211624.5
Multifamily LR (1-4),Low-Rise Multifamily,Seattle,WA,98103.0,4,LAKE UNION,47.66112,-122.33207,2005,3,47658,342311.5
NonResidential,Low-Rise Multifamily,Seattle,WA,98103.0,4,LAKE UNION,47.64859,-122.33311,2000,3,56986,511195.5938
Multifamily LR (1-4),Low-Rise Multifamily,Seattle,WA,98199.0,7,MAGNOLIA / QUEEN ANNE,47.65675,-122.38833,1962,3,24059,203973.0
Multifamily LR (1-4),Senior Care Community,Seattle,WA,98144.0,3,CENTRAL,47.59505,-122.29824,1963,3,66402,886192.125
